121,2008,340,1140,12.34,6543,0
121,2008,340,1150,12.34,6543,0
121,2008,340,1200,12.34,6543,0
121,2008,340,1210,12.34,6543,0
121,2008,340,1220,12.34,6543,0
121,2008,340,1230,12.35,6543,0
121,2008,340,1240,12.35,6543,0
121,2008,340,1250,12.35,6543,0
121,2008,340,1300,12.35,6543,0
121,2008,340,1310,12.35,6543,0
121,2008,340,1320,12.35,6543,0
121,2008,340,1330,12.35,6543,0
121,2008,340,1340,12.35,6543,0
121,2008,340,1350,12.35,6543,0
121,2008,340,1400,12.36,6543,0
121,2008,340,1410,12.36,6543,0
121,2008,340,1420,12.36,6543,0
121,2008,340,1430,12.36,6543,0
121,2008,340,1440,12.36,6543,0
121,2008,340,1450,12.36,6543,0
121,2008,340,1500,12.36,6543,0
121,2008,340,1510,12.36,6543,0
121,2008,340,1520,12.35,6543,0
121,2008,340,1530,12.36,6543,0
121,2008,340,1540,12.36,6543,0
121,2008,340,1550,12.36,6543,0
121,2008,340,1600,12.36,6543,0
121,2008,340,1610,12.36,6543,0
121,2008,340,1620,12.36,6543,0
121,2008,340,1630,12.36,6543,0
121,2008,340,1640,12.36,6543,0
121,2008,340,1650,12.36,6543,0
121,2008,340,1700,12.35,6543,0
121,2008,340,1710,12.35,6543,0
121,2008,340,1720,12.35,6543,0
121,2008,340,1730,12.35,6543,0
121,2008,340,1740,12.35,6543,0
121,2008,340,1750,12.35,6543,0
121,2008,340,1800,12.35,6543,0
121,2008,340,1810,12.18,6543,0
121,2008,340,1820,12.34,6543,0
121,2008,340,1830,12.34,6543,0
121,2008,340,1840,12.34,6543,0
121,2008,340,1850,12.34,6543,0
121,2008,340,1900,12.34,6543,0
121,2008,340,1910,12.34,6543,0
121,2008,340,1920,12.34,6543,0
121,2008,340,1930,12.34,6543,0
121,2008,340,1940,12.33,6543,0
121,2008,340,1950,12.34,6543,0
121,2008,340,2000,12.33,6543,0
121,2008,340,2010,12.33,6543,0
121,2008,340,2020,12.32,6543,0
121,2008,340,2030,12.33,6543,0
121,2008,340,2040,12.32,6543,0
121,2008,340,2050,12.32,6543,0
121,2008,340,2100,12.32,6543,0
121,2008,340,2110,12.32,6543,0
121,2008,340,2120,12.32,6543,0
121,2008,340,2130,12.32,6543,0
121,2008,340,2140,12.32,6543,0
121,2008,340,2150,12.32,6543,0
121,2008,340,2200,12.32,6543,0
121,2008,340,2210,12.32,6543,0
121,2008,340,2220,12.32,6543,0
121,2008,340,2230,12.32,6543,0
121,2008,340,2240,12.32,6543,0
121,2008,340,2250,12.32,6543,0
121,2008,340,2300,12.31,6543,0
121,2008,340,2310,12.31,6543,0
121,2008,340,2320,12.31,6543,0
121,2008,340,2330,12.31,6543,0
121,2008,340,2340,12.31,6543,0
121,2008,340,2350,12.31,6543,0
121,2008,340,2400,12.31,6543,0
122,2008,340,2400,12.16,6543,0
121,2008,341,10,12.31,6543,0
121,2008,341,20,12.31,6543,0
121,2008,341,30,12.31,6543,0
121,2008,341,40,12.31,6543,0
121,2008,341,50,12.31,6543,0
121,2008,341,100,12.31,6543,0
121,2008,341,110,12.31,6543,0
121,2008,341,120,12.31,6543,0
121,2008,341,130,12.31,6543,0
121,2008,341,140,12.31,6543,0
121,2008,341,150,12.31,6543,0
121,2008,341,200,12.31,6543,0
121,2008,341,210,12.31,6543,0
121,2008,341,220,12.31,6543,0
121,2008,341,230,12.31,6543,0
121,2008,341,240,12.3,6543,0
121,2008,341,250,12.31,6543,0
121,2008,341,300,12.31,6543,0
121,2008,341,310,12.3,6543,0
121,2008,341,320,12.3,6543,0
121,2008,341,330,12.3,6543,0
121,2008,341,340,12.3,6543,0
