102,WAC-011,nmb3,6/6/2006,10,34,4200,1,0,4.09,0.75,0,0.88,0.89,1.24,1.24,1.24,1.24,1.24,0.01,0.01,0.35,0,4.44,N,4.23,N
103,WAC-011,nmb3,6/9/2006,10,35,4300,1,0,5.37,0.95,0,1.98,1.99,2.42,3.3,3.31,3.66,3.66,0.01,0.01,0.43,0.88,5.77,SW,9.82,SW
104,WAC-011,nmb3,6/15/2006,10,34.1,2000,1,1,5.91,0.81,0,0.18,0.52,4.87,4.87,4.87,4.87,6.85,0,0.34,4.35,0,1.9,SE,6.3,SW
105,WAC-011,nmb3,6/28/2006,10,32.5,4300,45,0,4.97,0.09,0,0.19,1.04,1.26,1.26,1.26,1.26,1.31,0,0.85,0.22,0,4.47,S,7.15,S
106,WAC-011,nmb3,7/7/2006,111,35.1,4300,180,2,4.95,0.86,6,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,6.78,NE,4.07,NE
107,WAC-011,nmb3,7/13/2006,10,35.1,4300,45,0,6.65,0.91,5,0.03,0.03,0.03,0.03,0.03,0.03,0.48,0,0,0,0,14.17,SW,10.76,SW
108,WAC-011,nmb3,7/17/2006,10,34.9,2100,1,0,5.89,0.51,0,0.02,0.59,0.59,0.59,0.62,0.62,0.62,0,0.57,0,0,2.64,SE,2.81,NE
109,WAC-011,nmb3,7/24/2006,10,34.8,2000,1,1,5.57,0,6,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.01,0,0,0,2.77,SE,6.03,SW
110,WAC-011,nmb3,7/26/2006,10,35,4200,135,1,5.28,0.02,0,0.08,1.53,1.79,1.79,1.79,1.79,1.79,0,1.45,0.26,0,3.84,S,3.99,SW
111,WAC-012,mb1,5/16/2005,10,33.6,2100,1,2,3.46,0.53,8,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,0,0,0,1.78,SE,8.1,SW
112,WAC-012,mb1,5/25/2005,10,33,2000,180,2,6.65,0.95,2,0.5,0.5,0.5,0.51,0.78,0.78,0.78,0.01,0,0,0.01,2.94,N,0.35,N
113,WAC-012,mb1,5/31/2005,31,34.2,2000,225,2,5.31,0.37,1,0.73,0.73,0.84,0.84,0.84,0.84,1.34,0,0,0.11,0,8.57,NE,5.35,NE
114,WAC-012,mb1,6/2/2005,30,33,2000,1,2,5.72,0.18,0,0.48,0.5,1.23,1.23,1.34,1.34,1.34,0,0.02,0.73,0,2.92,SE,11.02,E
115,WAC-012,mb1,7/4/2005,10,35,4200,180,22,5.35,0.03,0,0.2,0.22,0.22,0.23,-1,-1,-1,0,0.02,0,0.01,4.23,SE,5.5,E
116,WAC-012,mb1,7/14/2005,31,33.9,2100,45,1,4.23,0.51,0,0.06,0.07,0.07,0.07,0.07,0.65,0.65,0,0.01,0,0,7.27,SW,5.22,SW
117,WAC-012,mb1,7/31/2005,183,34,2000,1,2,4.79,0.17,8,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0.01,0,0,0,3.22,NE,3.98,SE
118,WAC-012,mb1,8/1/2005,10,33.9,2000,225,2,4.78,0.11,0,2.21,3.4,3.4,3.4,3.4,3.4,3.4,0.01,1.19,0,0,4.07,NE,3.22,NE
119,WAC-012,mb1,8/9/2005,135,32.7,4300,1,1,4.37,0.18,0,1.53,1.84,1.98,1.98,1.98,1.98,1.98,0.01,0.31,0.14,0,3.1,S,5.22,NE
120,WAC-012,mb1,9/15/2005,74,30.9,2000,1,0,6.41,0.92,0,3.48,5.12,5.85,5.85,5.85,5.85,5.85,0,1.64,0.73,0,3.79,NW,12.15,NW
121,WAC-012,mb1,9/27/2005,10,33.2,2200,1,2,3.82,0.28,7,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,4.12,NE,9.06,SW
122,WAC-012,mb1,10/12/2005,479,30.7,2100,1,22,5.24,0.71,0,0.06,0.55,0.55,1.54,3.81,6.55,7.42,0,0.49,0,0.99,8.61,NE,9.67,NE
