101,2008,339,2220,12.93,4936,0
101,2008,339,2230,12.92,4936,0
101,2008,339,2240,12.9,4936,0
101,2008,339,2250,12.89,4936,0
101,2008,339,2300,12.88,4936,0
101,2008,339,2310,12.87,4936,0
101,2008,339,2320,12.86,4936,0
101,2008,339,2330,12.84,4936,0
101,2008,339,2340,12.84,4936,0
101,2008,339,2350,12.82,4936,0
101,2008,339,2400,12.81,4936,0
102,2008,339,2400,12.51,4936,0
101,2008,340,10,12.8,4936,0
101,2008,340,20,12.79,4936,0
101,2008,340,30,12.78,4936,0
101,2008,340,40,12.78,4936,0
101,2008,340,50,12.76,4936,0
101,2008,340,100,12.76,4936,0
101,2008,340,110,12.75,4936,0
101,2008,340,120,12.74,4936,0
101,2008,340,130,12.74,4936,0
101,2008,340,140,12.73,4936,0
101,2008,340,150,12.72,4936,0
101,2008,340,200,12.71,4936,0
101,2008,340,210,12.71,4936,0
101,2008,340,220,12.71,4936,0
101,2008,340,230,12.7,4936,0
101,2008,340,240,12.69,4936,0
101,2008,340,250,12.69,4936,0
101,2008,340,300,12.69,4936,0
101,2008,340,310,12.68,4936,0
101,2008,340,320,12.67,4936,0
101,2008,340,330,12.67,4936,0
101,2008,340,340,12.67,4936,0
101,2008,340,350,12.67,4936,0
101,2008,340,400,12.66,4936,0
101,2008,340,410,12.65,4936,0
101,2008,340,420,12.65,4936,0
101,2008,340,430,12.65,4936,0
101,2008,340,440,12.64,4936,0
101,2008,340,450,12.64,4936,0
101,2008,340,500,12.63,4936,0
101,2008,340,510,12.63,4936,0
101,2008,340,520,12.63,4936,0
101,2008,340,530,12.63,4936,0
101,2008,340,540,12.62,4936,0
101,2008,340,550,12.62,4936,0
101,2008,340,600,12.61,4936,0
101,2008,340,610,12.55,4936,0
101,2008,340,620,12.59,4936,0
101,2008,340,630,12.59,4936,0
101,2008,340,640,12.59,4936,0
101,2008,340,650,12.59,4936,0
101,2008,340,700,12.59,4936,0
101,2008,340,710,12.59,4936,0
101,2008,340,720,12.59,4936,0
101,2008,340,730,12.59,4936,0
101,2008,340,740,12.58,4936,0
101,2008,340,750,12.58,4936,0
101,2008,340,800,12.58,4936,0
101,2008,340,810,12.58,4936,0
101,2008,340,820,12.58,4936,0
101,2008,340,830,12.58,4936,0
101,2008,340,840,12.58,4936,0
101,2008,340,850,12.61,4936,0
101,2008,340,900,12.67,4936,0
101,2008,340,910,12.83,4936,0
101,2008,340,920,13.18,4936,0
101,2008,340,930,13.3,4936,0
101,2008,340,940,13.71,4936,0
101,2008,340,950,13.67,4936,0
101,2008,340,1000,13.65,4936,0
101,2008,340,1010,13.64,4936,0
101,2008,340,1020,13.63,4936,0
101,2008,340,1030,13.72,4936,0
101,2008,340,1040,13.64,4936,0
101,2008,340,1050,13.63,4936,0
101,2008,340,1100,13.62,4936,0
101,2008,340,1110,13.6,4936,0
101,2008,340,1120,13.58,4936,0
101,2008,340,1130,13.52,4936,0
101,2008,340,1140,13.46,4936,0
101,2008,340,1150,13.42,4936,0
101,2008,340,1200,13.4,4936,0
101,2008,340,1210,13.46,4936,0
101,2008,340,1220,13.49,4936,0
101,2008,340,1230,13.53,4936,0
101,2008,340,1240,13.53,4936,0
101,2008,340,1250,13.52,4936,0
101,2008,340,1300,13.53,4936,0
101,2008,340,1310,13.53,4936,0
101,2008,340,1320,13.47,4936,0
101,2008,340,1330,13.42,4936,0
101,2008,340,1340,13.4,4936,0
101,2008,340,1350,13.44,4936,0
101,2008,340,1400,13.47,4936,0
101,2008,340,1410,13.51,4936,0
101,2008,340,1420,13.54,4936,0
101,2008,340,1430,13.55,4936,0
101,2008,340,1440,13.56,4936,0
101,2008,340,1450,13.56,4936,0
101,2008,340,1500,13.65,4936,0
101,2008,340,1510,13.61,4936,0
101,2008,340,1520,13.79,4936,0
101,2008,340,1530,13.85,4936,0
101,2008,340,1540,13.89,4936,0
101,2008,340,1550,13.97,4936,0
101,2008,340,1600,13.93,4936,0
101,2008,340,1610,13.91,4936,0
101,2008,340,1620,13.85,4936,0
101,2008,340,1630,13.87,4936,0
101,2008,340,1640,13.89,4936,0
101,2008,340,1650,13.84,4936,0
101,2008,340,1700,13.73,4936,0
101,2008,340,1710,13.66,4936,0
101,2008,340,1720,13.59,4936,0
101,2008,340,1730,13.55,4936,0
101,2008,340,1740,13.52,4936,0
101,2008,340,1750,13.49,4936,0
101,2008,340,1800,13.45,4936,0
101,2008,340,1810,13.39,4936,0
101,2008,340,1820,13.37,4936,0
101,2008,340,1830,13.34,4936,0
101,2008,340,1840,13.31,4936,0
101,2008,340,1850,13.3,4936,0
101,2008,340,1900,13.28,4936,0
101,2008,340,1910,13.25,4936,0
101,2008,340,1920,13.23,4936,0
101,2008,340,1930,13.21,4936,0
101,2008,340,1940,13.2,4936,0
101,2008,340,1950,13.18,4936,0
101,2008,340,2000,13.17,4936,0
101,2008,340,2010,13.15,4936,0
101,2008,340,2020,13.13,4936,0
101,2008,340,2030,13.11,4936,0
101,2008,340,2040,13.09,4936,0
101,2008,340,2050,13.08,4936,0
101,2008,340,2100,13.07,4936,0
101,2008,340,2110,13.05,4936,0
101,2008,340,2120,13.04,4936,0
101,2008,340,2130,13.02,4936,0
101,2008,340,2140,13.01,4936,0
101,2008,340,2150,13,4936,0
101,2008,340,2200,12.98,4936,0
101,2008,340,2210,12.97,4936,0
101,2008,340,2220,12.96,4936,0
101,2008,340,2230,12.94,4936,0
101,2008,340,2240,12.93,4936,0
101,2008,340,2250,12.92,4936,0
101,2008,340,2300,12.9,4936,0
101,2008,340,2310,12.89,4936,0
101,2008,340,2320,12.88,4936,0
101,2008,340,2330,12.87,4936,0
101,2008,340,2340,12.86,4936,0
101,2008,340,2350,12.84,4936,0
101,2008,340,2400,12.83,4936,0
102,2008,340,2400,12.55,4936,0
101,2008,341,10,12.82,4936,0
101,2008,341,20,12.81,4936,0
101,2008,341,30,12.8,4936,0
101,2008,341,40,12.79,4936,0
101,2008,341,50,12.78,4936,0
101,2008,341,100,12.77,4936,0
101,2008,341,110,12.76,4936,0
101,2008,341,120,12.75,4936,0
101,2008,341,130,12.74,4936,0
101,2008,341,140,12.73,4936,0
101,2008,341,150,12.72,4936,0
101,2008,341,200,12.71,4936,0
101,2008,341,210,12.71,4936,0
101,2008,341,220,12.7,4936,0
101,2008,341,230,12.69,4936,0
101,2008,341,240,12.69,4936,0
101,2008,341,250,12.68,4936,0
101,2008,341,300,12.67,4936,0
101,2008,341,310,12.67,4936,0
101,2008,341,320,12.67,4936,0
101,2008,341,330,12.66,4936,0
101,2008,341,340,12.66,4936,0
101,2008,341,350,12.65,4936,0
101,2008,341,400,12.65,4936,0
101,2008,341,410,12.65,4936,0
101,2008,341,420,12.64,4936,0
101,2008,341,430,12.63,4936,0
101,2008,341,440,12.63,4936,0
101,2008,341,450,12.63,4936,0
101,2008,341,500,12.63,4936,0
101,2008,341,510,12.63,4936,0
101,2008,341,520,12.62,4936,0
101,2008,341,530,12.62,4936,0
101,2008,341,540,12.61,4936,0
101,2008,341,550,12.61,4936,0
101,2008,341,600,12.61,4936,0
101,2008,341,610,12.53,4936,0
101,2008,341,620,12.59,4936,0
101,2008,341,630,12.59,4936,0
101,2008,341,640,12.59,4936,0
101,2008,341,650,12.59,4936,0
101,2008,341,700,12.59,4936,0
101,2008,341,710,12.58,4936,0
101,2008,341,720,12.58,4936,0
101,2008,341,730,12.58,4936,0
101,2008,341,740,12.57,4936,0
101,2008,341,750,12.57,4936,0
101,2008,341,800,12.57,4936,0
101,2008,341,810,12.57,4936,0
101,2008,341,820,12.56,4936,0
101,2008,341,830,12.56,4936,0
101,2008,341,840,12.56,4936,0
101,2008,341,850,12.6,4936,0
101,2008,341,900,12.67,4936,0
101,2008,341,910,12.81,4936,0
101,2008,341,920,13.34,4936,0
101,2008,341,930,14.18,4936,0
101,2008,341,940,14.73,4936,0
101,2008,341,950,13.85,4936,0
101,2008,341,1000,13.79,4936,0
101,2008,341,1010,13.75,4936,0
101,2008,341,1020,13.75,4936,0
101,2008,341,1030,13.72,4936,0
101,2008,341,1040,13.68,4936,0
101,2008,341,1050,13.65,4936,0
101,2008,341,1100,13.64,4936,0
101,2008,341,1110,13.62,4936,0
101,2008,341,1120,13.6,4936,0
101,2008,341,1130,13.57,4936,0
101,2008,341,1140,13.54,4936,0
101,2008,341,1150,13.51,4936,0
101,2008,341,1200,13.49,4936,0
101,2008,341,1210,13.45,4936,0
101,2008,341,1220,13.41,4936,0
101,2008,341,1230,13.39,4936,0
101,2008,341,1240,13.4,4936,0
101,2008,341,1250,13.37,4936,0
101,2008,341,1300,13.33,4936,0
101,2008,341,1310,13.31,4936,0
101,2008,341,1320,13.27,4936,0
101,2008,341,1330,13.24,4936,0
101,2008,341,1340,13.22,4936,0
101,2008,341,1350,13.19,4936,0
101,2008,341,1400,13.17,4936,0
101,2008,341,1410,13.14,4936,0
101,2008,341,1420,13.12,4936,0
101,2008,341,1430,13.17,4936,0
101,2008,341,1440,13.28,4936,0
101,2008,341,1450,13.84,4936,0
101,2008,341,1500,13.84,4936,0
101,2008,341,1510,13.62,4936,0
101,2008,341,1520,13.57,4936,0
101,2008,341,1530,13.57,4936,0
101,2008,341,1540,13.81,4936,0
101,2008,341,1550,13.86,4936,0
101,2008,341,1600,13.76,4936,0
101,2008,341,1610,13.75,4936,0
101,2008,341,1620,13.81,4936,0
101,2008,341,1630,13.75,4936,0
101,2008,341,1640,13.68,4936,0
101,2008,341,1650,13.58,4936,0
101,2008,341,1700,13.52,4936,0
101,2008,341,1710,13.48,4936,0
101,2008,341,1720,13.44,4936,0
101,2008,341,1730,13.4,4936,0
101,2008,341,1740,13.37,4936,0
101,2008,341,1750,13.34,4936,0
101,2008,341,1800,13.32,4936,0
101,2008,341,1810,13.25,4936,0
101,2008,341,1820,13.25,4936,0
101,2008,341,1830,13.23,4936,0
101,2008,341,1840,13.21,4936,0
101,2008,341,1850,13.19,4936,0
101,2008,341,1900,13.17,4936,0
101,2008,341,1910,13.15,4936,0
101,2008,341,1920,13.13,4936,0
101,2008,341,1930,13.12,4936,0
101,2008,341,1940,13.1,4936,0
101,2008,341,1950,13.09,4936,0
101,2008,341,2000,13.07,4936,0
101,2008,341,2010,13.05,4936,0
101,2008,341,2020,13.04,4936,0
101,2008,341,2030,13.02,4936,0
101,2008,341,2040,13.01,4936,0
101,2008,341,2050,13,4936,0
101,2008,341,2100,12.98,4936,0
101,2008,341,2110,12.97,4936,0
101,2008,341,2120,12.96,4936,0
101,2008,341,2130,12.94,4936,0
101,2008,341,2140,12.92,4936,0
101,2008,341,2150,12.92,4936,0
101,2008,341,2200,12.9,4936,0
101,2008,341,2210,12.89,4936,0
